NAME,TYPE,LAT,LON,DIAMETER_KM
Capella,Crater,-7.5,35.0,49
Isidorus,Crater,-8.0,33.5,42
Messier,Crater,-1.9,47.6,11
Godin,Crater,1.8,10.2,35
Linné,Crater,27.7,11.8,2
Hyginus,Crater,7.8,6.3,9
Montes Apenninus,Montes,19.9,-3.2,600
Montes Caucasus,Montes,38.4,10.0,445
Montes Alpes,Montes,48.3,0.5,281
Montes Haemus,Montes,19.9,9.2,560
Montes Carpatus,Montes,14.5,-25.3,361
Montes Jura,Montes,47.1,-34.0,422
Montes Pyrenaeus,Montes,-16.3,41.1,164
Montes Taurus,Montes,28.4,41.1,172
Montes Riphaeus,Montes,7.7,-27.8,189
Mons Pico,Mons,45.7,-8.9,25
Mons Piton,Mons,40.6,-0.9,25
Montes Recti,Montes,48.0,-20.0,90
Mons Rümker,Mons,40.8,-58.1,70
Vallis Alpes,Vallis,49.0,3.2,166
Vallis Schröteri,Vallis,26.2,-50.8,168
Vallis Rheita,Vallis,-42.5,51.5,455
Rima Hyginus,Rima,7.4,7.8,219
Rima Ariadaeus,Rima,6.4,14.0,220
Rupes Recta,Rupes,-22.1,-7.8,110
